Study,Link (Use DOI or Title if missing),DOI,Title,Year,Country,Continent,SequencingType,PublicationJournal,Disease,AlphaDirection,BetaSeparation,"KeyTaxa_Enriched ↑ (Taxa1, Taxa2, etc.)",KeyTaxa_Depleted ↓,Differential Abundance Test (try Ctrl F for these),TaxaExtractionSource (Should be Main Text unless there is nothing listed),Tags (skip),Contributor,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
IlieVăcăreanTrandafir2025,https://pubmed.ncbi.nlm.nih.gov/41245833/,10.3389/fnins.2025.1654995,Exploring gut microbiota alterations in Parkinson's disease: insights from a 16S amplicon sequencing Eastern European pilot study.,2025,Romania,Europe,16S,Frontiers in neuroscience,Parkinson’s disease (PD),No Difference,No,Blautia; Mogibacterium; Rikenellaceae RC9,Lachnospiraceae UCG-001 (p<0.0156); Fusicatenibacter; Butyricicoccus; Anaerostipes; Erysipelotrichaceae UCG-003; Tyzzerella,"LEfSe (LDA), Linear (e.g. MaAsLin)",Main Text,,Marc W. Van Goethem,,,,,,,,,,
BoertienMurtomäki2022,https://pubmed.ncbi.nlm.nih.gov/36216843/,10.1038/s41531-022-00395-8,Fecal microbiome alterations in treatment-naive de novo Parkinson's disease.,2022,Netherlands and Finland,Europe,16S,NPJ Parkinson's disease,Parkinson’s disease (PD),Increase,Yes,Rikenellaceae RC9 gut group (Netherlands),Clostridia UCG-014 (Netherlands); Roseburia (both countries); Lachnospiraceae GCA-900066575 (Finland),"ANCOM, DESeq",Main Text,,Marc W. Van Goethem,"Alpha diversity was higher in PD patients from Netherlands, but lower in PD patients from Finland, compared to healthy controls. Conflicting differential taxa between ANCOM and DESeq2 analyses.",,,,,,,,,
YayYilmaz2024,https://pubmed.ncbi.nlm.nih.gov/38528960/,10.1080/20002297.2024.2331264,Oral and gut microbial profiling in periodontitis and Parkinson's disease.,2024,United States,North America,16S,Journal of oral microbiology,Parkinson’s disease (PD),Differing B/w Subgroups,Differing B/w Subgroups,"Mycoplasma faucium; Tannerella forsythia, Parvimonas micra; Saccharibacteria (Parkinsons group), and Prevotella pallens; Prevotella melaninogenica; Neisseria multispecies (Parkinsons+Periodontitis group)",Rothia dentocariosa; Gamella sanguinis (Healthy controls),LEfSe (LDA),Main Text,gradient/subtypes;confounding disease,Marc W. Van Goethem,"Note that these oral saliva samples. Also unclear where subjects were recruited from, possibly Turkey.",,,,,,,,,
LinLi2025,https://pubmed.ncbi.nlm.nih.gov/41404035/,10.3389/fnins.2025.1667331,Alterations in gut microbiota and plasma metabolites: a multi-omics study of mild cognitive impairment in Parkinson's disease.,2025,China,Asia,16S,Frontiers in neuroscience,Parkinson’s disease (PD),No Difference,Differing B/w Subgroups,Senegalimassilia; Eubacterium,Eggerthella; Blautia; Lachnoclostridium; Erysipelatoclostridium; Oscillospirales; Megasphaera; Lactococcus,"LEfSe (LDA), Linear (e.g. MaAsLin)",Main Text,gradient/subtypes,Marc W. Van Goethem,,,,,,,,,,
KimKim2024,https://pubmed.ncbi.nlm.nih.gov/38610709/,10.3390/jcm13071944,Alterations in Gut Microbiota and Their Correlation with Brain Beta-Amyloid Burden Measured by (18)F-Florbetaben PET in Mild Cognitive Impairment Due to Alzheimer's Disease.,2024,South Korea,Asia,16S,Journal of clinical medicine,Alzheimer’s disease (AD),Decrease,Yes,Bacilli (p=0.034); Lactobacillales (p=0.047); Anaerostipes (p=0.036),Ruminococcaceae (p=0.006); Christensenellaceae (p=0.002); Rikenellaceae (p=0.011); Barnesiellaceae (p=0.015); Faecalibacterium (p=0.014); Lachnospira (p=0.008); Oscillibacter (p=0.009); Ruminococcus (p=0.034); Roseburia (p=0.039); Sporobacter (p=0.022); Alistipes (p=0.011); Barnesiella (p=0.013); Pseudoflavonifractor (p=0.014),"LEfSe (LDA), Linear (e.g. MaAsLin)",Main Text,,Marc W. Van Goethem,,,,,,,,,,
HuWang2024,https://pubmed.ncbi.nlm.nih.gov/39512468/,10.1016/j.heliyon.2024.e38645,Retrospective analysis of diet and gut microbiota diversity and clinical pharmacology outcomes in patients with Parkinsonism syndrome.,2024,China,Asia,16S,Heliyon,Parkinson’s disease (PD),Increase,Not reported,Porphyromonas; Bifidobacterium; Lactococcus; Enterobacter; Acetobacter; Oxalobacter; Lachnospira; Enterococcus; Rhodospirillum; Gemmiger; Collinsella; Butyricimonas; Alistipes; Odoribacter (all p<0.05),Mitsuokella (p<0.05),"ANCOM, LEfSe (LDA), DESeq",Main Text,,Marc W. Van Goethem,,,,,,,,,,
ZhangHuang2022,https://pubmed.ncbi.nlm.nih.gov/35931717/,10.1038/s41531-022-00359-y,Specific gut microbiota alterations in essential tremor and its difference from Parkinson's disease.,2022,China,Asia,16S,NPJ Parkinson's disease,"Other, Parkinson’s disease (PD)",Differing B/w Subgroups,Differing B/w Subgroups,,Ruminococcus; Romboutsia; Mucispirillum; Aeromonas; Helicobacter; Candidatus Arthromitus; Peptoclostridium,LEfSe (LDA),Main Text,,Marc W. Van Goethem,Compared Essential Tremor (ET) with PD. PD and NC results are only in supplementary. Also performed qPCR to estimate total microbial load.,,,,,,,,,
LubomskiXu2022,https://pubmed.ncbi.nlm.nih.gov/35656540/,10.3389/fnagi.2022.875261,The Gut Microbiome in Parkinson's Disease: A Longitudinal Study of the Impacts on Disease Progression and the Use of Device-Assisted Therapies.,2022,Australia,Oceania,16S,Frontiers in aging neuroscience,Parkinson’s disease (PD),Decrease,Yes,Lactobacillaceae,Butyricicoccus; Fusicatenibacter; Lachnospiraceae ND3007; Erysipelotrichaceae UCG-003,Other,Main Text,,Marc W. Van Goethem,Used ANOVA-like differential expression (ALDEx2),,,,,,,,,
HuangLi2019,https://doi.org/10.3389/fped.2019.00394,10.3389/fped.2019.00394,Distinct Gut Microbiota Composition and Functional Category in Children With Cerebral Palsy and Epilepsy,2019,China,Asia,16S,Frontiers in Pediatrics,Epilepsy,Increase,Yes,Bifidobacterium (Wilcoxon FDR<0.001); Streptococcus (Wilcoxon FDR<0.001); Akkermansia (Wilcoxon FDR<0.001); Enterococcus (Wilcoxon FDR<0.001); Prevotella (Wilcoxon FDR<0.001); Veillonella (Wilcoxon FDR<0.001); Rothia (Wilcoxon FDR<0.001); Clostridium IV (Wilcoxon FDR<0.001),Bacteroides (Wilcoxon FDR<0.001); Faecalibacterium (Wilcoxon FDR<0.001); Blautia (Wilcoxon FDR=0.037); Ruminococcus (Wilcoxon FDR<0.001); Roseburia (Wilcoxon FDR<0.001); Anaerostipes (Wilcoxon FDR<0.001); Parasutterella (Wilcoxon FDR<0.001),,Main Text,,Emily Song,,,,,,,,,,
LinLin2025,https://pubmed.ncbi.nlm.nih.gov/40046438/,10.3389/fnins.2025.1545690,Plasma exosomal miRNA expression and gut microbiota dysbiosis are associated with cognitive impairment in Alzheimer's disease.,2025,China,Asia,Shotgun,Frontiers in neuroscience,Alzheimer’s disease (AD),Not Reported,Not reported,Propionibacteriaceae; Peptoniphilus; Anaerococcus; Tannerella; Arachnia; Dermabacter; Burkholderia cepacia; Fusobacterium necrophorum; Blautia hydrogenotrophica; Streptococcus porcinus; Streptococcus parasuis; Actinomyces sp. oral taxon 848,Romboutsia; Faecalibacterium; Roseburia; Sarcina; Massilistercora timonensis; Lachnospiraceae bacterium GAM79; Romboutsia ilealis; Faecalibacterium prausnitzii; Roseburia inulinivorans; Roseburia intestinalis; Sarcina sp. JB2; Uncultured Erysipelotrichaceae,LEfSe (LDA),Main Text,,Marc W. Van Goethem,,,,,,,,,,
