Study,Link (Use DOI or Title if missing),DOI,Title,Year,Country,Continent,SequencingType,PublicationJournal,Disease,AlphaDirection,BetaSeparation,"KeyTaxa_Enriched ↑ (Taxa1, Taxa2, etc.)",KeyTaxa_Depleted ↓,Differential Abundance Test (try Ctrl F for these),TaxaExtractionSource (Should be Main Text unless there is nothing listed),Tags (skip),Contributor,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
HuangLi2019,https://doi.org/10.3389/fped.2019.00394,10.3389/fped.2019.00394,Distinct Gut Microbiota Composition and Functional Category in Children With Cerebral Palsy and Epilepsy,2019,China,Asia,16S,Frontiers in Pediatrics,Epilepsy,Increase,Yes,Bifidobacterium (Wilcoxon FDR<0.001); Streptococcus (Wilcoxon FDR<0.001); Akkermansia (Wilcoxon FDR<0.001); Enterococcus (Wilcoxon FDR<0.001); Prevotella (Wilcoxon FDR<0.001); Veillonella (Wilcoxon FDR<0.001); Rothia (Wilcoxon FDR<0.001); Clostridium IV (Wilcoxon FDR<0.001),Bacteroides (Wilcoxon FDR<0.001); Faecalibacterium (Wilcoxon FDR<0.001); Blautia (Wilcoxon FDR=0.037); Ruminococcus (Wilcoxon FDR<0.001); Roseburia (Wilcoxon FDR<0.001); Anaerostipes (Wilcoxon FDR<0.001); Parasutterella (Wilcoxon FDR<0.001),,Main Text,,Emily Song,,,,,,,,,,
LinLin2025,https://pubmed.ncbi.nlm.nih.gov/40046438/,10.3389/fnins.2025.1545690,Plasma exosomal miRNA expression and gut microbiota dysbiosis are associated with cognitive impairment in Alzheimer's disease.,2025,China,Asia,Shotgun,Frontiers in neuroscience,Alzheimer’s disease (AD),Not Reported,Not reported,Propionibacteriaceae; Peptoniphilus; Anaerococcus; Tannerella; Arachnia; Dermabacter; Burkholderia cepacia; Fusobacterium necrophorum; Blautia hydrogenotrophica; Streptococcus porcinus; Streptococcus parasuis; Actinomyces sp. oral taxon 848,Romboutsia; Faecalibacterium; Roseburia; Sarcina; Massilistercora timonensis; Lachnospiraceae bacterium GAM79; Romboutsia ilealis; Faecalibacterium prausnitzii; Roseburia inulinivorans; Roseburia intestinalis; Sarcina sp. JB2; Uncultured Erysipelotrichaceae,LEfSe (LDA),Main Text,,Marc W. Van Goethem,,,,,,,,,,
QianYang2018,https://pubmed.ncbi.nlm.nih.gov/29881345/,10.3389/fnagi.2018.00156,Detection of Microbial 16S rRNA Gene in the Blood of Patients With Parkinson's Disease.,2018,China,Asia,16S,Frontiers in aging neuroscience,Parkinson’s disease (PD),No Difference,No,Myroides; Isoptericola; Microbacterium; Cloacibacterium; Enhydrobacter (LDA Score (log10) > 2; FDR 5%),Limnobacter,LEfSe (LDA),Main Text,,Marc W. Van Goethem,These are blood samples,,,,,,,,,
WadopVasquez2025,https://pubmed.ncbi.nlm.nih.gov/41156809/,10.3390/microorganisms13102350,Differential Patterns of Gut and Oral Microbiomes in Hispanic Individuals with Cognitive Impairment.,2025,United States,North America,16S,Microorganisms,"Alzheimer’s disease (AD), Dementia",No Difference,No,Streptococcus; Fusobacterium; Fretibacterium; Dialister; Mycoplasma (oral data); Bacteroides; Escherichia-Shigella (gut data),Neisseria (oral data); Ruminococcus; Shuttleworthia; Holdemania; Subdoligranulum; UGC-005; Eubacterium brachy (gut data),Linear (e.g. MaAsLin),Main Text,,Marc W. Van Goethem,Oral and gut data,,,,,,,,,
KennaChua2021,https://pubmed.ncbi.nlm.nih.gov/34776854/,10.3389/fnins.2021.756951,Changes in the Gut Microbiome and Predicted Functional Metabolic Effects in an Australian Parkinson's Disease Cohort.,2021,Australia,Oceania,16S,Frontiers in neuroscience,Parkinson’s disease (PD),Decrease,No,Synergistetes (q<0.001); Proteobacteria (q=0.034),Lachnospiraceae (q=0.011); Roseburia (q<0.001); Kineothrix (q=0.105); Agathobaculum (q = 0.121); Colidextribacter (q=0.105); Intestinibacter (q=0.121),Other,Main Text,,Marc W. Van Goethem,Used Wilcoxon rank-sum tests for differential abundance,,,,,,,,,
PeiLu2023,https://pubmed.ncbi.nlm.nih.gov/37350810/,10.3389/fnagi.2023.1174599,Gut microbiota and intestinal barrier function in subjects with cognitive impairments: a cross-sectional study.,2023,China,Asia,16S,Frontiers in aging neuroscience,Alzheimer’s disease (AD),No Difference,Differing B/w Subgroups,Catenibacterium (p=0.039); Family XIII AD3011 (p=0.011); Vagococcus (p=0.032) (in AD); Alistipes; Bacteroides; Roseburia; Tyzzerella 4 (in MCI),Dorea (p<0.01); Streptococcus (p=0.015),Other,Main Text,,Marc W. Van Goethem,,,,,,,,,,
LubomskiXu2022,https://pubmed.ncbi.nlm.nih.gov/35645785/,10.3389/fnagi.2022.881872,Nutritional Intake and Gut Microbiome Composition Predict Parkinson's Disease.,2022,Australia,Oceania,16S,Frontiers in aging neuroscience,Parkinson’s disease (PD),No Difference,Yes,Bifidobacterium; Butyricimonas; Candidatus Soleaferre; Faecalibacterium sp. UBA1819; Flavonifractor; Ruminococcus gnavus,Agathobacter; Butyricicoccus; Erysipelotrichaceae UCG-003; Eubacterium xylanophilum; Fusicatenibacter; Lachnospiraceae ND3007 group; Ruminococcus gauvreauii; Firmacutes bacterium CAG:56,Other,Main Text,,Marc W. Van Goethem,Used ANOVA-like differential expression (ALDEx2),,,,,,,,,
KozhakhmetovKaiyrlykyzy2024,https://pubmed.ncbi.nlm.nih.gov/39346576/,10.1155/2024/9741811,Inflammatory Manifestations Associated With Gut Dysbiosis in Alzheimer's Disease.,2024,Kazakhstan,Asia,16S,International journal of Alzheimer's disease,Alzheimer’s disease (AD),No Difference,Yes,Phyllobacterium; Lactobacillus salivarius; Bacteroidia; Coriobacteriia; Erysipelotrichia; Gemmatimonadetes; Verrucomicrobiae; Cloacibacillus; Clostridia,"Rhodospirillales; Bacteroides, Bifidobacterium breve; Monoglobus","LEfSe (LDA), DESeq",Main Text,,Marc W. Van Goethem,,,,,,,,,,
MateoCarrión2024,https://pubmed.ncbi.nlm.nih.gov/39458354/,10.3390/microorganisms12102046,Gut Microbiota Alterations in Alzheimer's Disease: Relation with Cognitive Impairment and Mediterranean Lifestyle.,2024,Switzerland,Europe,,Microorganisms,Alzheimer’s disease (AD),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
YuQiu2021,,10.1080/21655979.2021.1955543,Profile of gut microbiota in patients with traumatic thoracic spinal cord injury and its clinical implications: a case-control study in a rehabilitation setting,2021,,,,BIOENGINEERED,Spinal cord injury (SCI),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
BrennerStamper2020,,10.1097/HTR.0000000000000615,Microbial Diversity and Community Structures Among Those With Moderate to Severe TBI: A United States-Veteran Microbiome Project Study,2020,,,,JOURNAL OF HEAD TRAUMA REHABILITATION,Other,,,,,,Main Text,gradient/subtypes,Ariana J. Hampton,,,,,,,,,,
ZhangZhang2018,,10.1186/s12967-018-1735-9,Gut microbiota dysbiosis in male patients with chronic traumatic complete spinal cord injury,2018,,,,JOURNAL OF TRANSLATIONAL MEDICINE,Spinal cord injury (SCI),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
ZhangJing2019,,,Dysbiosis of gut microbiota is associated with serum lipid profiles in male patients with chronic traumatic cervical spinal cord injury,2019,,,,AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH,Spinal cord injury (SCI),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
BazzocchiTurroni2021,,10.1038/s41598-021-92027-z,Changes in gut microbiota in the acute phase after spinal cord injury correlate with severity of the lesion,2021,,,,SCIENTIFIC REPORTS,Spinal cord injury (SCI),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
PangWang2022,,10.3389/fmicb.2022.986480,Relationship between gut microbiota and lymphocyte subsets in Chinese Han patients with spinal cord injury,2022,,,,FRONTIERS IN MICROBIOLOGY,Spinal cord injury (SCI),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
JoKang2022,https://pubmed.ncbi.nlm.nih.gov/35798742/,10.1038/s41531-022-00351-6,Oral and gut dysbiosis leads to functional alterations in Parkinson's disease.,2022,United States,North America,,NPJ Parkinson's disease,Parkinson’s disease (PD),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
KongZhang2023,,10.1186/s13041-023-01014-0,The gut microbiota and metabolite profiles are altered in patients with spinal cord injury,2023,,,,MOLECULAR BRAIN,Spinal cord injury (SCI),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
LinXu2020,,10.1371/journal.pone.0236470,Alterations in the fecal microbiota of patients with spinal cord injury,2020,,,,PLOS ONE,Spinal cord injury (SCI),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
UrbanPyles2020,,10.1089/neu.2019.6688,Altered Fecal Microbiome Years after Traumatic Brain Injury,2020,,,,JOURNAL OF NEUROTRAUMA,Other,,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
JingYang2023,,10.1038/s41522-023-00466-5,Spinal cord injury-induced gut dysbiosis influences neurological recovery partly through short-chain fatty acids,2023,,,,NPJ BIOFILMS AND MICROBIOMES,Spinal cord injury (SCI),,,,,,Main Text,,Ariana J. Hampton,,,,,,,,,,
